LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,CHICA,15236,2099,11/4/2010 2:51:27 PM
Dog Lifetime Neutered Male,NEWFOUNDLAND,BLACK,TANK,15146,2099,11/4/2010 2:59:32 PM
Dog Lifetime Spayed Female,SCHNOODLE,WHITE/BLACK/BROWN,MADISON,15044,2099,11/5/2010 11:12:54 AM
Dog Lifetime Neutered Male,SCHNOODLE,WHITE/BLACK,HAYDEN,15044,2099,11/5/2010 11:16:24 AM
Dog Lifetime Neutered Male,LAB MIX,WHITE/BROWN,SAM,15212,2099,11/5/2010 1:28:04 PM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERR MIX,TAN,SABRINA,15131,2099,11/5/2010 1:32:42 PM
Dog Senior Lifetime Spayed Female,TERRIER,BLACK,CINDER,15102,2099,11/5/2010 1:36:55 PM
Dog Lifetime Neutered Male,BOXER,BRINDLE,BRUISER,15045,2099,11/8/2010 10:54:51 AM
Dog Senior Lifetime Neutered Male,BORD COLLIE MIX,BLACK,ONYX,15025,2099,11/23/2010 3:09:25 PM
Dog Lifetime Neutered Male,LAB MIX,BROWN,STEEL,15122,2099,11/8/2010 3:32:29 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,HERSHEY GIRL,15044,2099,11/8/2010 3:45:26 PM
Dog Lifetime Spayed Female,POODLE MIN,APRICOT,MAGGIE,15146,2099,11/9/2010 8:51:48 AM
Dog Lifetime Spayed Female,ST BERNARD,TRI-COLOR,KALI,15131,2099,11/9/2010 11:52:14 AM
Dog Lifetime Duplicate,ST BERNARD,TRI-COLOR,KALI,15131,2099,2/4/2014 9:27:25 AM
Dog Senior Lifetime Neutered Male,SHIH TZU MIX,WHITE/BROWN,MAX,15101,2099,11/9/2010 11:52:15 AM
Dog Lifetime Neutered Male,BEAGLE,TRI-COLOR,DINO,15122,2099,11/9/2010 11:52:16 AM
Dog Lifetime Spayed Female,BORD COLLIE MIX,SPOTTED,HATTIE,15237,2099,11/9/2010 3:11:41 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,SAMMY,15237,2099,11/9/2010 3:11:41 PM
Dog Lifetime Spayed Female,BEAGLE,SPOTTED,SOPHIE,15129,2099,11/9/2010 3:15:06 PM
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,ODIE,15122,2099,11/10/2010 11:25:00 AM
Dog Lifetime Neutered Male,GER SHEPHERD,BLACK/TAN,ZEKE,15147,2099,11/10/2010 11:29:27 AM
Dog Lifetime Spayed Female,WEIMARANER,GREY,PIPPY,15122,2099,11/10/2010 11:48:22 AM
Dog Lifetime Spayed Female,GER SHEPHERD,GOLD,GOLDIE,15132,2099,11/10/2010 12:08:47 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,DUGGER,15144,2099,11/10/2010 12:43:13 PM
Dog Lifetime Spayed Female,MIXED,BROWN,ABBEY,15234,2099,11/10/2010 1:55:38 PM
Dog Senior Lifetime Neutered Male,GOLDENDOODLE,CREAM,GABE,15236,2099,11/10/2010 2:39:38 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,SOPHIE,15235,2099,11/12/2010 1:49:27 PM
Dog Lifetime Spayed Female,BOXER,BRINDLE,SISSY,15235,2099,11/12/2010 1:57:17 PM
Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,PARKER JAMES,15146,2099,11/12/2010 2:13:25 PM
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK/TAN,SPANKY,15106,2099,11/15/2010 10:00:05 AM
Dog Lifetime Neutered Male,ENG BULLDOG,BROWN,BRUTUS,15057,2099,11/15/2010 10:00:06 AM
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/TAN,BEATRICE,15139,2099,11/15/2010 10:00:07 AM
Dog Lifetime Spayed Female,MORKIE,BROWN,BELLE,15136,2099,11/15/2010 10:09:19 AM
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,DUKE,15237,2099,11/15/2010 10:13:50 AM
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,KATIE,15237,2099,11/15/2010 10:13:50 AM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,RED,RUBY,16046,2099,11/15/2010 10:17:29 AM
Dog Lifetime Neutered Male,GREAT DANE,WHITE/BLUE,JERHICO,15227,2099,11/15/2010 10:22:26 AM
Dog Lifetime Neutered Male,GREAT DANE,BROWN,SCOOBY,15144,2099,11/15/2010 1:52:40 PM
Dog Senior Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SADIE,15132,2099,11/15/2010 1:52:41 PM
Dog Lifetime Spayed Female,BOXER,BRINDLE,JOSIE,15239,2099,11/15/2010 2:41:49 PM
Dog Lifetime Neutered Male,BEAGLE,MULTI,DARTANYON,15221,2099,11/15/2010 2:46:02 PM
Dog Lifetime Male,VIZSLA,RED,COLT,15102,2099,11/16/2010 1:58:47 PM
Dog Lifetime Spayed Female,PUGGLE,BLACK/GOLD,COCOA,15227,2099,11/16/2010 2:14:17 PM
Dog Lifetime Neutered Male,GOLDENDOODLE,BLACK,INKY,15218,2099,11/16/2010 2:23:46 PM
Dog Lifetime Spayed Female,PUG,FAWN,ZOE,15236,2099,11/17/2010 3:45:50 PM
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/BROWN,LYLA CONROY,15205,2099,11/17/2010 3:50:03 PM
Dog Lifetime Neutered Male,SFT COAT WHEAT TERR,WHEATON,GROVER,15101,2099,11/18/2010 12:24:04 PM
Dog Lifetime Male,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,HIRO,15243,2099,12/7/2010 2:52:56 PM
Dog Lifetime Female,VIZSLA,RED,CHEYENE KELLY,15102,2099,11/19/2010 1:55:44 PM
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/BLACK,AMY,15146,2099,11/19/2010 12:16:53 PM
Dog Lifetime Spayed Female,BICHON FRISE,WHITE,PEANUT LACEY,15102,2099,3/1/2011 3:06:50 PM
Dog Lifetime Spayed Female,LABRADOODLE,RED,BELLA ZEILER ADAMIK,15102,2099,11/19/2010 1:49:14 PM
Dog Lifetime Female,BEARDED COLLIE,WHITE/BROWN,MORGAN,15146,2099,11/22/2010 2:22:19 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,MURPHY,15126,2099,11/22/2010 2:22:25 PM
Dog Lifetime Neutered Male,COCKER SPANIEL,MULTI,PARKER,15234,2099,11/22/2010 1:43:19 PM
Dog Lifetime Spayed Female,PUG,FAWN,LACEY,15143,2099,11/22/2010 2:22:26 PM
Dog Lifetime Spayed Female,POMERANIAN,SABLE/WHITE,MIA SMITH,15116,2099,11/22/2010 2:24:15 PM
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/BROWN,ROXIE,15133,2099,11/22/2010 2:27:19 PM
Dog Lifetime Male,LAB MIX,BLACK,JACKSON,15234,2099,11/23/2010 12:18:56 PM
Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BLACK,PEANUT,15108,2099,11/23/2010 3:09:26 PM
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/BLACK,BUSTER,15108,2099,11/23/2010 3:09:26 PM
Dog Lifetime Spayed Female,PAPILLON,TRI-COLOR,POPPY,15122,2099,11/23/2010 3:09:27 PM
Dog Lifetime Neutered Male,POODLE STANDARD,BROWN,ROSSCO,15237,2099,11/24/2010 1:48:22 PM
Dog Lifetime Spayed Female,COLLIE MIX,WHITE/TAN,SUNNI,15014,2099,11/24/2010 1:51:02 PM
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,BROWN,GRACIE,15126,2099,11/24/2010 2:12:40 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,MAGGIE,15235,2099,11/26/2010 9:38:30 AM
Dog Lifetime Neutered Male,LAB MIX,BLACK,BEAR,15108,2099,11/29/2010 2:45:08 PM
Dog Lifetime Neutered Male,CAIRN TERRIER,RED/BRINDLE,SCRUFFY,15102,2099,11/29/2010 2:45:12 PM
Dog Lifetime Spayed Female,BOXER,BRINDLE,ZOEY,15086,2099,11/29/2010 2:45:24 PM
Dog Lifetime Spayed Female,ROTTWEILER MIX,BLACK/BROWN,RIPLEY,15014,2099,5/31/2013 4:09:26 PM
Dog Lifetime Spayed Female,MIXED,YELLOW,THELMA,15044,2099,1/4/2012 8:55:51 AM
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BROWN,JACKSON,15122,2099,11/30/2010 1:44:51 PM
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK,SAMPSON,15122,2099,11/30/2010 1:47:48 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,ACE,15101,2099,11/30/2010 1:55:14 PM
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,SPRITE,15237,2099,11/30/2010 2:04:12 PM
Dog Lifetime Spayed Female,PUG,FAWN,KHLOE,15017,2099,3/14/2011 3:16:16 PM
Dog Lifetime Spayed Female,MORKIE,BLACK,SAM,15120,2099,12/1/2010 1:43:51 PM
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,WHITE/BLACK/BROWN,BELLA,15129,2099,12/1/2010 1:48:49 PM
Dog Lifetime Spayed Female,AUS SHEPHERD,TRI-COLOR,ELLIE,15120,2099,12/1/2010 2:29:10 PM
Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,ELLIE,15229,2099,12/1/2010 1:53:42 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK WITH WHITE,BOOMER,15236,2099,6/6/2012 12:41:43 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,DIESEL,15068,2099,12/2/2010 1:37:09 PM
Dog Senior Lifetime Spayed Female,MIXED,GOLD,ANGEL,15106,2099,
Dog Senior Lifetime Spayed Female,MIXED,GOLD,ANGEL,15106,2099,12/2/2010 1:43:39 PM
Dog Lifetime Spayed Female,YORKSHIRE TERR MIX,WHITE/BLACK,LENOX,15108,2099,12/2/2010 1:50:46 PM
Dog Lifetime Spayed Female,CHIHUAHUA MIX,BLACK,FOXY,15122,2099,12/2/2010 2:11:24 PM
Dog Lifetime Neutered Male,POODLE MIX,WHITE/BLACK/BROWN,COOPER,15239,2099,12/3/2010 1:43:58 PM
Dog Lifetime Neutered Male,BICHON FRISE,BRINDLE,MILO,15101,2099,12/6/2010 11:41:18 AM
Dog Lifetime Spayed Female,BOXER,BRINDLE,MACIE,15101,2099,12/6/2010 11:44:30 AM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,ONYX,15122,2099,12/6/2010 12:17:40 PM
Dog Lifetime Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,GINGER,15131,2099,12/7/2010 1:56:56 PM
Dog Senior Lifetime Neutered Male,COTON DE TULEAR,WHITE,CLAUDE,15102,2099,12/7/2010 2:23:35 PM
Dog Lifetime Spayed Female,BEAGLE MIX,SPOTTED,FERN,15228,2099,12/7/2010 2:23:36 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,CHOCOLATE,COCO,15145,2099,12/7/2010 2:28:37 PM
Dog Lifetime Neutered Male,BOXER,WHITE/BROWN,JACK,15102,2099,12/7/2010 2:51:45 PM
Dog Lifetime Spayed Female,PUGGLE,BROWN,ZARAH,15214,2099,2/5/2019 2:59:49 PM
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,LUCY OBRIEN,15116,2099,4/25/2011 2:00:33 PM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,LACEY,15241,2099,5/17/2018 10:21:07 AM
Dog Lifetime Male,GER SHEPHERD,BLACK/BROWN,BUDDY,15126,2099,3/9/2011 3:21:47 PM
Dog Lifetime Spayed Female,LAB MIX,TAN,BARLEY,15102,2099,4/30/2018 10:13:04 AM
Dog Lifetime Spayed Female,LAB MIX,BLACK,IZZY,15101,2099,11/28/2011 12:09:13 PM
Dog Lifetime Spayed Female,SIB HUSKY,WHITE/BLACK,NIKITA,15108,2099,5/10/2011 2:24:22 PM
Dog Lifetime Neutered Male,BEAGLE MIX,BLACK,DEXTER,15116,2099,4/21/2014 11:45:15 AM
Dog Lifetime Spayed Female,GER SHEPHERD MIX,WHITE/BLACK/BROWN,DAISY MAE,15236,2099,12/13/2010 2:58:44 PM
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,SANTA FE PERKINS,15235,2099,3/31/2011 3:21:35 PM
Dog Lifetime Neutered Male,GOLDENDOODLE,CREAM,COBY,15120,2099,12/13/2010 4:15:12 PM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,CASH,15104,2099,12/24/2018 9:50:09 AM
Dog Lifetime Spayed Female,BOXER,WHITE/BROWN,MILEY,15108,2099,8/28/2019 12:25:15 PM
Dog Lifetime Spayed Female,GREAT PYRENEES,WHITE,DOLLY,15044,2099,2/15/2017 3:50:10 PM
Dog Lifetime Spayed Female,SCHNOODLE,WHEATON,COCO,15235,2099,5/9/2011 1:29:34 PM
Dog Out of County Transfer - Lifetime,MIXED,TAN,HOPE,15108,2099,12/14/2010 3:41:49 PM
Dog Senior Lifetime Neutered Male,SHIH TZU,GREY,MAX,15122,2099,9/17/2018 9:55:01 AM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/TAN,KAYA,15237,2099,12/15/2010 11:02:39 AM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BREWZER,15065,2099,12/15/2010 11:13:18 AM
Dog Lifetime Neutered Male,LAB MIX,BLACK,GREEN,15229,2099,1/13/2014 1:06:27 PM
Dog Lifetime Duplicate,LAB MIX,BLACK,GREEN,15229,2099,5/1/2019 3:30:32 PM
Dog Lifetime Neutered Male,ITALIAN GREYHOUND,WHITE/BLUE,RUDY J. TOM,15131,2099,9/2/2011 4:11:48 PM
Dog Senior Lifetime Male,BERNESE MTN DOG,WHITE/BLACK/BROWN,PILOT,15236,2099,12/15/2010 12:43:02 PM
Dog Lifetime Spayed Female,SCHNAUZER STANDARD,WHITE,NIKKI,15227,2099,12/15/2010 1:45:26 PM
Dog Lifetime Neutered Male,POODLE MIX,WHITE,TOBY,15239,2099,12/15/2010 2:04:56 PM
Dog Lifetime Spayed Female,CAIRN TERRIER,TAN,PEANUT,15143,2099,12/15/2010 2:31:43 PM
Dog Lifetime Spayed Female,POMERANIAN,BLACK/BROWN,TRINA MARECIC,15227,2099,12/15/2010 2:52:49 PM
Dog Lifetime Neutered Male,COCKAPOO,CREAM,BAILEY,15143,2099,1/5/2011 1:25:22 PM
Dog Lifetime Neutered Male,YORKSHIRE TERR MIX,WHITE/BLACK/BROWN,NICO,15220,2099,9/16/2011 11:46:28 AM
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,ZOEY,15090,2099,12/8/2014 11:03:18 AM
Dog Lifetime Spayed Female,SIB HUSKY,SABLE/WHITE,SOSHA,15227,2099,12/20/2011 8:50:10 AM
Dog Lifetime Female,MASTIFF,FAWN,HANNAH BOURAS,15122,2099,12/16/2010 12:58:06 PM
Dog Lifetime Neutered Male,LAB MIX,BROWN,FUDGE,15146,2099,12/16/2010 1:28:59 PM
Dog Senior Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,MADDIE,15218,2099,12/16/2010 1:54:18 PM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,DAISY,15137,2099,4/26/2011 12:08:48 PM
Dog Lifetime Neutered Male,SFT COAT WHEAT TERR,WHEATON,BARKLEE,15221,2099,12/16/2010 2:17:58 PM
Dog Lifetime Neutered Male,MIXED,RED,ROCCO,15237,2099,12/16/2010 3:16:38 PM
Dog Senior Lifetime Neutered Male,AM PIT BULL TERRIER,WHITE/BLUE,ACE,15037,2099,12/16/2010 3:23:26 PM
Dog Lifetime Male,DOGUE DE BORDEAUX,RED,BENTLY,15229,2099,12/16/2010 3:29:00 PM
Dog Lifetime Male,GER SHEPHERD,BLACK/BROWN,SPENCER,15332,2099,12/16/2010 3:35:47 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,CHOCOLATE,BETTY,15044,2099,12/16/2010 3:41:54 PM
Dog Lifetime Spayed Female,SCHNAUZER MIN,GREY,MACY GREY,15106,2099,12/16/2010 3:42:33 PM
Dog Senior Lifetime Spayed Female,MIXED,WHITE/BLACK,KATIE,15236,2099,12/16/2010 4:00:38 PM
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,JAZZY,15122,2099,12/16/2010 4:03:35 PM
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,BROWN,ROSIE,15101,2099,12/16/2010 4:03:45 PM
Dog Senior Lifetime Spayed Female,AM PIT BULL TERRIER,BROWN,SHEBA,15104,2099,
Dog Lifetime Neutered Male,LAB MIX,BLACK,DUKE,15126,2099,2/2/2015 1:19:41 PM
Dog Lifetime Spayed Female,LAB MIX,BLACK,MACY,15145,2099,5/2/2014 10:19:45 AM
Dog Lifetime Spayed Female,GREYHOUND,BRINDLE,DOBBY,15237,2099,1/18/2018 9:53:53 AM
Dog Lifetime Neutered Male,GOLDEN RETRIEV MIX,WHITE/TAN,CHANCE,15102,2099,1/28/2016 2:44:27 PM
Dog Lifetime Neutered Male,ENG COONHOUND,SPOTTED,AUGGIE,15235,2099,12/20/2010 3:37:51 PM
Dog Lifetime Neutered Male,ENG COONHOUND,SPOTTED,AUGGIE,15235,2099,1/20/2011 2:19:57 PM
Dog Lifetime Spayed Female,SIB HUSKY,SILVER,STELLA,15227,2099,12/23/2011 2:41:40 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK,JORDAN,15129,2099,12/20/2010 3:37:53 PM
Dog Lifetime Neutered Male,ST BERNARD,BLACK/TAN/WHITE,TOBY,15228,2099,12/20/2010 3:37:54 PM
Dog Lifetime Spayed Female,SFT COAT WHEAT TERR,BLONDE,BELLA,15241,2099,12/20/2010 3:37:54 PM
Dog Senior Lifetime Neutered Male,PEEKAPOO,WHITE/BLACK/BROWN,TURBO,15137,2099,12/20/2010 3:56:08 PM
Dog Senior Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,MACY,15147,2099,9/6/2012 8:38:30 AM
Dog Lifetime Spayed Female,LAB MIX,BROWN,CHEDDAR,15229,2099,12/21/2010 11:15:49 AM
Dog Lifetime Spayed Female,TERRIER MIX,WHITE/BLACK/BROWN,HARLEY,15120,2099,1/19/2016 3:40:32 PM
Dog Lifetime Duplicate,TERRIER MIX,WHITE/BLACK/BROWN,HARLEY,15120,2099,6/18/2018 12:38:31 PM
Dog Out of County Transfer - Lifetime,PUG,FAWN,TUCKER,15239,2099,12/21/2010 2:19:05 PM
Dog Out of County Transfer - Lifetime,BOXER,FAWN,JESSIE,15239,2099,12/21/2010 2:23:46 PM
Dog Inter County Transfer - Lifetime,AUS SHEPHERD,BLUE,DANEKA,15037,2099,12/21/2010 2:27:57 PM
Dog Lifetime Neutered Male,BORD COLLIE,BLACK,FRIDAY,16046,2099,1/10/2013 8:47:56 AM
Dog Lifetime Neutered Male,GOLDEN RETRIEV MIX,YELLOW,HUNTER,15065,2099,3/7/2012 2:46:51 PM
Dog Lifetime Neutered Male,GER SHORTHAIR POINT,SPOTTED,HARPER,15084,2099,2/3/2014 2:12:32 PM
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,ENZO,15140,2099,1/6/2016 3:23:42 PM
Dog Senior Lifetime Spayed Female,OTHER,BLACK/BROWN,LUCY,15071,2099,12/23/2010 11:15:43 AM
Dog Out of County Transfer - Lifetime,LAB MIX,BLACK,NORA,15229,2099,12/23/2010 12:05:22 PM
Dog Lifetime Spayed Female,PUGGLE,BLACK/BROWN,BELLA,15229,2099,12/23/2010 1:49:32 PM
Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,WHITE/BLACK,HERSHEY,15146,2099,12/23/2010 2:29:53 PM
Dog Lifetime Spayed Female,RAT TERRIER,WHITE/BLACK/BROWN,JOSEY,15218,2099,12/23/2010 2:32:03 PM
Dog Lifetime Neutered Male,GREAT DANE,BRINDLE,NITRO,15146,2099,12/23/2010 2:32:30 PM
Dog Lifetime Spayed Female,TERRIER,BRINDLE,VEENA,15129,2099,12/23/2010 2:36:34 PM
Dog Senior Lifetime Spayed Female,BEAGLE,TRI-COLOR,LADY JANE,15210,2099,12/27/2010 11:58:21 AM
Dog Lifetime Duplicate,BEAGLE,TRI-COLOR,LADY JANE,15210,2099,3/13/2015 10:21:47 AM
Dog Lifetime Male,BLACK RUSSIAN TERRI,BLACK,LUDLOW,15148,2099,12/27/2010 1:01:56 PM
Dog Lifetime Neutered Male,MIXED,YELLOW,BOGEY,15090,2099,12/27/2010 1:05:53 PM
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,BROWN,JACKIE,15024,2099,12/27/2010 1:08:50 PM
Dog Lifetime Spayed Female,ENG BULLDOG,BROWN,SOPHIA,15236,2099,12/27/2010 1:15:59 PM
Dog Lifetime Neutered Male,MIXED,BLUE,DEXTER,15227,2099,12/27/2010 3:25:53 PM
Dog Lifetime Spayed Female,SHIH TZU,TRI-COLOR,HALEY,15133,2099,12/27/2010 3:46:12 PM
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,WHITE,AURORA,15237,2099,12/16/2014 9:57:09 AM
Dog Lifetime Neutered Male,BOSTON TERRIER,BLACK WITH WHITE,SWEEPEA,15237,2099,12/9/2011 3:26:54 PM
Dog Lifetime Female,BRITTANY SPANIEL,ORANGE/WHITE,RIKKI,15084,2099,12/28/2010 10:00:46 AM
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/TAN,DUKE,15044,2099,12/23/2011 2:52:06 PM
Dog Lifetime Male,LABRADOR RETRIEVER,BLACK,MAX,15024,2099,1/21/2020 3:07:26 PM
Dog Lifetime Neutered Male,BEAGLE MIX,WHITE/TAN,PARSON,15034,2099,1/6/2011 1:54:18 PM
Dog Lifetime Neutered Male,BORD COLLIE MIX,WHITE/BLACK/BROWN,FRODO,15235,2099,12/28/2010 12:20:31 PM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/TAN,SHAY,15236,2099,12/28/2010 1:37:37 PM
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,WHITE/BROWN,NICO,15101,2099,12/28/2010 2:12:06 PM
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,SOPHIE,15236,2099,12/28/2010 2:25:08 PM
Dog Senior Lifetime Spayed Female,MIXED,OTHER,CRYSTAL,15122,2099,12/28/2010 3:43:14 PM
Dog Lifetime Spayed Female,MIXED,BRINDLE,LIBERTY,15116,2099,12/29/2010 9:34:38 AM
Dog Lifetime Spayed Female,LAB MIX,YELLOW,ANNIE,15133,2099,12/29/2010 9:55:07 AM
Dog Lifetime Neutered Male,SFT COAT WHEAT TERR,CREAM,RONNIE,15243,2099,12/30/2010 1:33:14 PM
Dog Senior Lifetime Neutered Male,PEEKAPOO,WHITE/BROWN,CODY,15235,2099,1/10/2011 4:18:31 PM
Dog Lifetime Spayed Female,MIXED,MULTI,RILEY,15049,2099,2/8/2016 12:53:25 PM
Dog Lifetime Neutered Male,LAB MIX,BROWN,TOBY,15102,2099,12/30/2015 11:37:13 AM
Dog Out of County Transfer - Lifetime,BRITTANY SPANIEL,SPOTTED,CHESTER,15108,2099,1/3/2011 12:21:05 PM
Dog Lifetime Spayed Female,BORDER TERRIER,WHITE/BLACK,MIA,15227,2099,4/21/2011 1:06:31 PM
Dog Lifetime Spayed Female,BOXER MIX,BRINDLE,REINA,15147,2099,3/3/2011 9:34:08 AM
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,BROWN,BAILEY,15235,2099,7/13/2012 8:54:14 AM
Dog Lifetime Female,MIXED,BLACK/BROWN,NALA,15108,2099,6/18/2020 10:13:29 AM
Dog Senior Lifetime Neutered Male,MIXED,BLACK/BROWN,CASANOVA,15216,2099,3/13/2018 1:23:11 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,MORGAN,15025,2099,1/3/2011 3:18:00 PM
Dog Senior Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,SUNNY,15235,2099,1/3/2011 3:22:54 PM
Dog Lifetime Spayed Female,SHIH TZU,SPOTTED,CHLOE,15132,2099,1/3/2011 3:47:14 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JAGER,15216,2099,6/11/2013 10:01:03 AM
Dog Senior Lifetime Neutered Male,BEAGLE,TRI-COLOR,SAMMY,15241,2099,1/4/2011 1:56:55 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JACKSON,15071,2099,3/3/2017 3:09:56 PM
Dog Senior Lifetime Neutered Male,LAB MIX,BLACK/BROWN,COOKIE,15210,2099,3/19/2015 2:13:14 PM
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,WHITE/BLACK/BROWN,MOLLY,15122,2099,1/4/2011 3:29:44 PM
Dog Lifetime Spayed Female,GREAT PYRENEES,WHITE,GRACIE,15143,2099,4/23/2018 4:10:43 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,RORY,15101,2099,9/1/2020 10:31:02 AM
Dog Lifetime Spayed Female,GER SHEPHERD,BROWN,EVA TYKE,15147,2099,2/10/2011 2:33:27 PM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,STELLA,15146,2099,8/2/2011 4:12:12 PM
Dog Out of County Transfer - Lifetime,MIN PINSCHER,BLACK/BROWN,ELGIN,15238,2099,1/5/2011 10:28:58 AM
Dog Lifetime Duplicate,MIN PINSCHER,BLACK/BROWN,ELGIN,15238,2099,7/1/2014 3:18:47 PM
Dog Lifetime Neutered Male,AM PITT BULL MIX,BRINDLE,TUCKER,15236,2099,1/5/2011 10:50:56 AM
Dog Lifetime Spayed Female,GER SHEPHERD MIX,RED,SAVANNAH,15234,2099,1/5/2011 11:07:15 AM
Dog Lifetime Spayed Female,PUGGLE,TAN,ANGEL,15106,2099,1/11/2017 12:33:59 PM
Dog Lifetime Neutered Male,POODLE MIX,BLACK,DUNCAN TERRY,15024,2099,1/5/2011 11:33:19 AM
Dog Senior Lifetime Male,AM PIT BULL TERRIER,BRINDLE,SLICK,15034,2099,1/5/2011 11:48:25 AM
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,TINK,15037,2099,4/22/2011 10:58:40 AM
Dog Senior Lifetime Neutered Male,BOXER,WHITE/FAWN,LUKE,15132,2099,1/5/2011 1:09:18 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,LUNA,15215,2099,2/19/2019 9:56:55 AM
Dog Lifetime Neutered Male,COLLIE MIX,BLACK/BROWN,JIMMY MEANOR,15046,2099,1/5/2011 2:31:13 PM
Dog Senior Lifetime Male,MASTIFF,BLUE,ZEUS,15035,2099,1/5/2011 2:42:34 PM
Dog Lifetime Female,CANE CORSO,BRINDLE,XENA,15148,2099,1/5/2011 2:42:34 PM
Dog Lifetime Duplicate,CANE CORSO,BRINDLE,XENA,15148,2099,9/6/2016 8:52:16 AM
Dog Senior Lifetime Spayed Female,MIXED,BLACK/TAN,SUZIE,15210,2099,1/5/2011 2:56:00 PM
Dog Lifetime Spayed Female,BEAGLE MIX,BRINDLE,LEXI,15108,2099,1/19/2011 3:37:25 PM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK,IZZIE,15239,2099,1/5/2011 3:22:35 PM
Dog Lifetime Neutered Male,SCHNOODLE,WHITE,CASEY,15241,2099,2/12/2014 3:29:03 PM
